te,teDelta,byt,pkt,td,sa,sp,da,dp,pr
0,4,11614,6,0.8698149682022631,42.219.155.87,5120,175.210.135.79,0,TCP
0,96,8453,9,0.8743726601824164,42.219.155.87,9954,111.210.233.165,0,TCP
0,4,657,7,0.8559953388758004,60.87.71.124,0,42.219.155.87,443,TCP
0,17,39,11,0.8718854784965515,48.20.195.165,0,42.219.155.87,5110,TCP
0,9,31,3,0.8584242034703493,247.108.117.165,0,42.219.155.87,10009,TCP
0,20,47,17,2.662842907011509,229.64.83.187,0,42.219.155.87,80,TCP
0,4,638,12,0.8516671964898705,42.219.155.87,80,35.210.176.213,0,TCP
0,5,7824,6,0.8524537165649235,175.65.133.96,0,42.219.155.87,80,TCP
0,4,312,2,0.8583472925238311,129.232.233.165,0,42.219.155.87,9928,TCP
0,16,42,4,0.8679161975160241,49.210.237.185,53730,42.219.155.87,80,TCP
0,78,303,5,0.8534633629024029,175.210.233.165,0,42.219.155.87,80,TCP
0,7,692,13,0.8707967237569392,175.161.137.165,42217,42.219.155.87,80,TCP
0,17,1466,41,15.432099267840385,42.219.155.87,80,42.67.47.178,0,TCP
0,4,49,16,16.342085245996714,176.63.217.178,0,42.219.155.87,25,TCP
0,4,293756,4,0.8726386141497642,42.219.155.87,80,48.32.233.62,0,TCP
0,17,51,7,25.513657808303833,234.210.31.165,0,42.219.155.87,80,TCP
0,111,2032,26,0.8579497220925987,42.219.155.87,80,62.126.192.129,34921,TCP
0,5,6813,2,7.479280214756727,42.219.155.87,161,175.126.217.186,0,TCP
0,4,11488,4,0.8434334993362427,42.219.155.87,80,78.210.162.165,0,TCP
0,14,887,4,0.8539167994167656,109.200.233.165,0,42.219.155.87,80,TCP
0,1,3585,2,0.8721042098477483,42.219.155.87,80,66.86.187.164,0,TCP
0,86,36,24,2.7119230781681836,6.210.90.19,0,42.219.155.87,21,TCP
0,9,943,4,0.8622909646946937,79.45.136.146,0,42.219.155.87,443,TCP
