teDelta,byt,pkt,td,sa,sp,da,dp,pr,TS
5,32,74,0.7779819457791746,175.210.133.165,0,42.219.155.19,2084,Other,2016-11-04 04:00:05
85,748,147,7.011384442448616,160.210.133.165,0,42.219.155.19,2094,Other,2016-11-04 04:01:30
22,1136,25,2.817118659149856,175.210.133.52,0,42.219.155.19,2078,Other,2016-11-04 04:01:52
79,985,666,0.7317611714825034,175.210.133.165,0,42.219.155.19,2096,Other,2016-11-04 04:03:11
10,705,9,0.764050415251404,175.210.133.104,0,42.219.155.19,2064,Other,2016-11-04 04:03:21
65,32,1,30.75120739638805,175.210.133.165,0,42.219.155.19,2071,Other,2016-11-04 04:04:26
20,32,5,5.220991252921522,42.219.155.19,2078,175.210.133.133,0,Other,2016-11-04 04:04:46
11,32,6,0.737932218471542,175.210.133.165,0,42.219.155.19,2120,Other,2016-11-04 04:04:57
8,659,3,0.7359868786297739,175.210.133.165,0,42.219.155.19,2055,Other,2016-11-04 04:05:05
17,709,120,5.2658345606178045,175.210.133.165,0,42.219.155.19,2070,Other,2016-11-04 04:05:22
15,32,5,27.076055511832237,175.210.133.165,0,42.219.155.19,2040,Other,2016-11-04 04:05:37
9,32,44,0.7860293663106859,42.219.155.19,2036,175.210.133.165,0,Other,2016-11-04 04:05:46
4,32,30,0.7458827819209546,175.210.133.165,0,42.219.155.19,2039,Other,2016-11-04 04:05:50
14,1147,24,0.7460879059508443,175.180.133.165,0,42.219.155.19,2068,Other,2016-11-04 04:06:04
16,912,14,0.7194087663665414,236.210.133.165,0,42.219.155.19,2111,Other,2016-11-04 04:06:20
15,1079,139,0.7864706323016435,90.210.133.165,0,42.219.155.19,2062,Other,2016-11-04 04:06:35
37,32,2,0.7037976190913469,175.210.133.165,0,42.219.155.19,2067,Other,2016-11-04 04:07:12
3,625,8,0.7075660019181669,175.210.93.165,0,42.219.155.19,2064,Other,2016-11-04 04:07:15
94,32,1,0.7584387897513807,175.210.133.165,0,42.219.155.19,2109,Other,2016-11-04 04:08:49
4,752,97,0.7494670010637492,175.210.133.165,0,42.219.155.19,2030,Other,2016-11-04 04:08:53
12,2243,67,0.7680404030252248,175.210.133.164,0,42.219.155.19,2067,Other,2016-11-04 04:09:05
50,537,402,0.7355505991727114,225.210.133.129,0,42.219.155.19,2110,Other,2016-11-04 04:09:55
4,32,103,0.7329537137411535,175.210.133.165,0,42.219.155.19,2119,Other,2016-11-04 04:09:59
5,878,5,0.7891286239027977,175.210.133.165,0,42.219.155.19,2104,Other,2016-11-04 04:10:04
8,757,6,0.7279352322220802,175.210.133.224,0,42.219.155.19,2102,Other,2016-11-04 04:10:12
5,32,183,0.7285923559684306,175.210.133.165,0,42.219.155.19,2112,Other,2016-11-04 04:10:17
7,32,15,0.7314978148788214,175.210.133.234,0,42.219.155.19,2108,Other,2016-11-04 04:10:24
41,32,2,0.7363451484125108,175.210.133.165,0,42.219.155.19,2062,Other,2016-11-04 04:11:05
34,587,5,0.7154879139270633,175.210.133.165,0,42.219.155.19,2060,Other,2016-11-04 04:11:39
17,78,35,0.7665688684210181,175.210.133.165,0,42.219.155.19,2074,Other,2016-11-04 04:11:56
33,564,61,0.7423975327983499,204.210.133.165,0,42.219.155.19,2116,Other,2016-11-04 04:12:29
23,32,15,0.7710023196414113,175.210.133.165,0,42.219.155.19,2079,Other,2016-11-04 04:12:52
18,114,6,0.7799583035521209,175.210.133.134,0,42.219.155.19,2087,Other,2016-11-04 04:13:10
51,890,2,2.805120720528066,175.210.133.165,0,42.219.155.19,2088,Other,2016-11-04 04:14:01
5,772,56,0.796990105882287,175.210.133.165,0,42.219.155.19,2025,Other,2016-11-04 04:14:06
4,466,6,0.6710937323514372,190.157.133.165,0,42.219.155.19,2027,Other,2016-11-04 04:14:10
19,1061,1,0.7209913569968194,175.210.133.165,0,42.219.155.19,2092,Other,2016-11-04 04:14:29
17,32,14,8.372000953182576,19.210.39.165,0,42.219.155.19,2038,Other,2016-11-04 04:14:46
9,32,85,0.7193139377050102,175.210.133.165,0,42.219.155.19,2070,Other,2016-11-04 04:14:55
4,32,50,0.7931909586768597,175.210.133.165,0,42.219.155.19,2064,Other,2016-11-04 04:14:59
3,787,5,0.6647302389610559,175.210.133.165,0,42.219.155.19,2057,Other,2016-11-04 04:15:02
18,32,4,4.8772828252986065,81.210.133.165,0,42.219.155.19,2040,Other,2016-11-04 04:15:20
4,32,1,0.7561082190368325,175.210.149.165,0,42.219.155.19,2104,Other,2016-11-04 04:15:24
25,661,2,0.7455569668672979,42.219.155.19,2074,235.210.133.165,0,Other,2016-11-04 04:15:49
5,69,6,0.7552610153798014,175.210.133.165,0,42.219.155.19,2107,Other,2016-11-04 04:15:54
17,33,161,0.7337748014833778,42.219.155.19,2095,175.210.133.165,0,Other,2016-11-04 04:16:11
48,720,1645,0.7755822397302836,175.210.133.165,0,42.219.155.19,2032,Other,2016-11-04 04:16:59
49,71,5,0.7583170845173299,175.210.133.165,0,42.219.155.19,2109,Other,2016-11-04 04:17:48
3,62,6,0.7021384555846453,175.210.133.165,0,42.219.155.19,2046,Other,2016-11-04 04:17:51
5,734,6,4.567391887307167,175.210.133.165,0,42.219.155.19,2082,Other,2016-11-04 04:17:56
25,32,24,2.728051219135523,159.210.133.137,0,42.219.155.19,2065,Other,2016-11-04 04:18:21
4,33,41,55.93824622035026,42.219.155.19,2050,175.210.133.165,0,Other,2016-11-04 04:18:25
18,945,10,21.098909977823496,175.210.133.165,0,42.219.155.19,2062,Other,2016-11-04 04:18:43
4,988,31,0.7362758440431207,175.210.133.165,0,42.219.155.19,2079,Other,2016-11-04 04:18:47
18,710,9,2.931791190057993,175.210.133.165,0,42.219.155.19,2046,Other,2016-11-04 04:19:05
5,32,175,0.7558985310606658,175.210.133.165,0,42.219.155.19,2097,Other,2016-11-04 04:19:10
3,32,36,0.7435506053734571,175.210.133.165,0,42.219.155.19,2043,Other,2016-11-04 04:19:13
5,85,90,0.7270537989679724,90.210.133.165,0,42.219.155.19,2034,Other,2016-11-04 04:19:18
4,32,7,0.7494727482553571,175.210.133.165,0,42.219.155.19,2048,Other,2016-11-04 04:19:22
12,958,6,250.77561450004575,175.210.133.165,0,42.219.155.19,2106,Other,2016-11-04 04:19:34
27,588,30,132.83528047800064,42.219.155.19,2106,175.210.133.154,0,Other,2016-11-04 04:20:01
67,744,4,20.102747227996584,175.210.133.165,0,42.219.155.19,2094,Other,2016-11-04 04:21:08
3,72,266,0.7538783932104707,175.210.133.76,0,42.219.155.19,2027,Other,2016-11-04 04:21:11
5,911,278,0.7397130872122943,175.210.133.165,0,42.219.155.19,2045,Other,2016-11-04 04:21:16
4,878,5,0.8049673768691719,175.210.133.165,0,42.219.155.19,2077,Other,2016-11-04 04:21:20
12,566,711,0.7060787893133238,42.219.155.19,2068,175.210.42.165,0,Other,2016-11-04 04:21:32
4,779,8,0.7887809188105166,175.210.133.165,0,42.219.155.19,2096,Other,2016-11-04 04:21:36
4,33,11,0.7262795339338481,175.210.133.165,0,42.219.155.19,2057,Other,2016-11-04 04:21:40
4,32,571,0.7174122934229672,26.210.133.165,0,42.219.155.19,2045,Other,2016-11-04 04:21:44
20,65,1,19.420750312507156,175.210.133.165,0,42.219.155.19,2075,Other,2016-11-04 04:22:04
5,32,7,0.7359179123304784,233.210.133.165,0,42.219.155.19,2034,Other,2016-11-04 04:22:09
4,32,2,0.7453757612966001,175.210.133.165,0,42.219.155.19,2080,Other,2016-11-04 04:22:13
67,557,2781,0.6897263388382271,175.210.133.165,0,42.219.155.19,2083,Other,2016-11-04 04:23:20
5,1407,17,0.7496067085303366,175.210.133.165,0,42.219.155.19,2119,Other,2016-11-04 04:23:25
4,805,288,0.7221854205708951,175.210.133.165,0,42.219.155.19,2112,Other,2016-11-04 04:23:29
37,32,326,0.7237993672024459,175.210.133.165,0,42.219.155.19,2064,Other,2016-11-04 04:24:06
4,32,5,0.7448247070424259,175.210.133.165,0,42.219.155.19,2024,Other,2016-11-04 04:24:10
