te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:01:56,4.004,56.153.165.185,42.219.155.132,0,2048,ICMP,.A....,0,0,5,420,background,2,0,116,0
2016-04-11 00:01:56,4.008,42.219.155.132,56.153.165.185,0,0,ICMP,.A....,0,0,5,420,background,420,0,116,0
2016-04-11 00:02:23,0.28,42.219.155.132,56.153.165.185,80,44792,TCP,.AP.SF,0,0,5,684,background,420,0,143,27
2016-04-11 00:02:23,0.28,56.153.165.185,42.219.155.132,44792,80,TCP,.AP.SF,0,0,5,372,background,684,0,143,0
2016-04-11 00:02:24,1.28,42.219.155.132,56.153.165.185,443,51420,TCP,.AP.SF,0,0,13,5029,background,372,0,144,1
2016-04-11 00:02:24,1.28,56.153.165.185,42.219.155.132,51420,443,TCP,.AP.SF,0,0,11,1165,background,5029,0,144,0
2016-04-11 00:02:27,4.004,42.219.155.132,56.153.165.185,0,0,ICMP,.A....,0,0,5,420,background,1165,0,147,3
2016-04-11 00:02:27,4.004,56.153.165.185,42.219.155.132,0,2048,ICMP,.A....,0,0,5,420,background,420,0,147,0
2016-04-11 00:03:23,0.28800000000000003,42.219.155.132,56.153.165.185,80,44798,TCP,.AP.SF,0,0,5,684,background,420,0,203,56
2016-04-11 00:03:23,0.28800000000000003,56.153.165.185,42.219.155.132,44798,80,TCP,.AP.SF,0,0,5,372,background,684,0,203,0
2016-04-11 00:03:24,1.164,56.153.165.185,42.219.155.132,51427,443,TCP,.AP.SF,0,72,10,1113,background,372,0,204,1
2016-04-11 00:03:24,1.168,42.219.155.132,56.153.165.185,443,51427,TCP,.AP.SF,0,0,12,4977,background,1113,0,204,0
2016-04-11 00:03:27,4.004,42.219.155.132,56.153.165.185,0,0,ICMP,.A....,0,0,5,420,background,4977,0,207,3
2016-04-11 00:03:27,4.008,56.153.165.185,42.219.155.132,0,2048,ICMP,.A....,0,0,5,420,background,420,0,207,0
2016-04-11 00:04:23,0.276,42.219.155.132,56.153.165.185,80,44805,TCP,.AP.SF,0,0,5,684,background,420,0,263,56
2016-04-11 00:04:23,0.28,56.153.165.185,42.219.155.132,44805,80,TCP,.AP.SF,0,0,5,372,background,684,0,263,0
2016-04-11 00:04:24,1.256,42.219.155.132,56.153.165.185,443,51436,TCP,.AP.SF,0,0,12,4977,background,372,0,264,1
2016-04-11 00:04:24,1.256,56.153.165.185,42.219.155.132,51436,443,TCP,.AP.SF,0,0,10,1101,background,4977,0,264,0
2016-04-11 00:04:27,4.004,42.219.155.132,56.153.165.185,0,0,ICMP,.A....,0,0,5,420,background,1101,0,267,3
2016-04-11 00:04:27,4.008,56.153.165.185,42.219.155.132,0,2048,ICMP,.A....,0,0,5,420,background,420,0,267,0
2016-04-11 00:05:23,0.276,42.219.155.132,56.153.165.185,80,44815,TCP,.AP.SF,0,0,5,684,background,420,0,323,56
2016-04-11 00:05:23,0.28,56.153.165.185,42.219.155.132,44815,80,TCP,.AP.SF,0,0,5,372,background,684,0,323,0
2016-04-11 00:05:24,1.048,42.219.155.132,56.153.165.185,443,51444,TCP,.AP.SF,0,0,12,4977,background,372,0,324,1
2016-04-11 00:05:24,1.048,56.153.165.185,42.219.155.132,51444,443,TCP,.AP.SF,0,0,11,1153,background,4977,0,324,0
2016-04-11 00:05:27,4.004,42.219.155.132,56.153.165.185,0,0,ICMP,.A....,0,0,5,420,background,1153,0,327,3
2016-04-11 00:05:27,4.004,56.153.165.185,42.219.155.132,0,2048,ICMP,.A....,0,0,5,420,background,420,0,327,0
