te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,label,TS
2016-04-14 00:00:04,0.0,176.42.148.252,42.219.152.23,61646,80,TCP,....S.,0,2,1,52,background,2016-04-14 00:00:04
2016-04-14 00:00:04,0.0,176.42.148.252,42.219.152.23,61652,8080,TCP,....S.,0,2,1,52,background,2016-04-14 00:00:04
2016-04-14 00:00:19,0.0,117.208.149.208,42.219.158.19,47852,7547,TCP,....S.,0,72,1,40,background,2016-04-14 00:00:19
2016-04-14 00:00:19,0.0,117.208.149.218,42.219.158.19,42826,7547,TCP,....S.,0,72,1,40,background,2016-04-14 00:00:19
2016-04-14 00:01:09,0.0,165.245.96.25,42.219.152.20,80,54862,TCP,.A..S.,0,0,1,40,background,2016-04-14 00:01:09
2016-04-14 00:01:20,0.0,198.132.59.191,42.219.152.18,34680,32400,TCP,....S.,0,40,1,40,background,2016-04-14 00:01:20
2016-04-14 00:01:29,0.0,242.101.231.152,42.219.158.16,48900,3128,TCP,....S.,0,0,1,40,background,2016-04-14 00:01:29
2016-04-14 00:01:30,0.0,133.133.216.157,42.219.152.20,0,771,ICMP,.A....,0,0,1,81,background,2016-04-14 00:01:30
2016-04-14 00:01:32,0.0,202.5.201.157,42.219.152.23,80,43323,TCP,...R..,0,40,1,40,background,2016-04-14 00:01:32
2016-04-14 00:01:47,3.012,77.54.209.112,42.219.154.66,47798,23,TCP,....S.,0,0,2,104,background,2016-04-14 00:01:47
2016-04-14 00:02:12,0.0,239.7.165.190,42.219.152.23,62896,9999,TCP,....S.,0,40,1,40,background,2016-04-14 00:02:12
2016-04-14 00:02:41,0.0,117.208.149.200,42.219.158.21,45896,443,TCP,....S.,0,72,1,40,background,2016-04-14 00:02:41
2016-04-14 00:02:41,0.0,117.208.149.201,42.219.158.21,51146,443,TCP,....S.,0,72,1,40,background,2016-04-14 00:02:41
2016-04-14 00:02:45,0.0,117.208.149.103,42.219.152.22,56833,993,TCP,....S.,0,72,1,40,background,2016-04-14 00:02:45
2016-04-14 00:02:45,0.0,117.208.149.104,42.219.152.22,58557,993,TCP,....S.,0,72,1,40,background,2016-04-14 00:02:45
