te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,label,TS
2016-04-11 00:00:14,15.0,42.219.154.108,90.95.14.237,33536,25,TCP,....S.,0,0,5,300,blacklist,2016-04-11 00:00:14
2016-04-11 00:00:14,15.0,42.219.154.108,69.41.220.10,60081,25,TCP,....S.,0,0,5,300,blacklist,2016-04-11 00:00:14
2016-04-11 00:00:37,1.008,42.219.158.242,60.56.180.25,45610,80,TCP,.AP.SF,0,0,6,437,blacklist,2016-04-11 00:00:37
2016-04-11 00:00:37,0.96,60.56.180.25,42.219.158.242,80,45610,TCP,.AP.SF,0,0,4,565,blacklist,2016-04-11 00:00:37
2016-04-11 00:00:37,0.884,42.219.158.242,60.56.180.25,55311,443,TCP,.AP.SF,0,0,55,3150,blacklist,2016-04-11 00:00:37
2016-04-11 00:00:37,0.828,60.56.180.25,42.219.158.242,443,55311,TCP,.AP.SF,0,0,81,102906,blacklist,2016-04-11 00:00:37
2016-04-11 00:00:44,14.995999999999999,42.219.154.108,90.95.12.171,48040,25,TCP,....S.,0,0,5,300,blacklist,2016-04-11 00:00:44
2016-04-11 00:01:42,1.7280000000000002,42.219.158.242,60.56.180.24,56222,80,TCP,.AP.SF,0,0,6,437,blacklist,2016-04-11 00:01:42
2016-04-11 00:01:42,1.64,60.56.180.24,42.219.158.242,80,56222,TCP,.AP.SF,0,0,4,565,blacklist,2016-04-11 00:01:42
2016-04-11 00:01:42,1.564,42.219.158.242,60.56.180.24,58097,443,TCP,.AP.SF,0,0,61,3742,blacklist,2016-04-11 00:01:42
2016-04-11 00:01:42,1.504,60.56.180.24,42.219.158.242,443,58097,TCP,.AP.SF,0,0,82,102866,blacklist,2016-04-11 00:01:42
2016-04-11 00:00:02,7.5920000000000005,42.219.158.188,209.34.68.123,143,56121,TCP,.AP..F,0,0,7,580,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:03,7.747999999999999,42.219.158.188,209.34.68.123,143,52000,TCP,.AP..F,0,0,7,580,blacklist,2016-04-11 00:00:03
2016-04-11 00:00:10,21.7,70.231.107.18,42.219.158.188,54469,80,TCP,.A...F,0,72,3,121,blacklist,2016-04-11 00:00:10
2016-04-11 00:00:10,21.676,70.231.107.18,42.219.158.188,54466,80,TCP,.A...F,0,72,3,121,blacklist,2016-04-11 00:00:10
2016-04-11 00:00:10,21.66,70.231.107.18,42.219.158.188,54470,80,TCP,.A...F,0,72,3,121,blacklist,2016-04-11 00:00:10
2016-04-11 00:00:03,1.9240000000000002,42.219.158.188,75.179.204.102,80,58174,TCP,.AP.SF,0,0,67,95045,blacklist,2016-04-11 00:00:03
2016-04-11 00:00:01,0.0,194.233.67.241,42.219.158.188,33009,53,UDP,.A....,0,0,1,58,blacklist,2016-04-11 00:00:01
2016-04-11 00:00:01,0.0,42.219.158.188,194.233.67.241,53,33009,UDP,.A....,0,0,1,122,blacklist,2016-04-11 00:00:01
2016-04-11 00:00:02,0.0,194.233.64.151,42.219.158.188,41114,53,UDP,.A....,0,0,1,58,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:02,0.0,42.219.158.188,194.233.64.151,53,41114,UDP,.A....,0,0,1,122,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:02,0.0,194.233.64.231,42.219.158.188,45637,53,UDP,.A....,0,0,1,57,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:02,0.0,42.219.158.188,194.233.64.231,53,45637,UDP,.A....,0,0,1,155,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:02,0.256,194.233.64.44,42.219.158.188,61990,80,TCP,.AP.S.,0,0,4,437,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:02,0.124,42.219.158.188,194.233.64.44,80,61990,TCP,.AP.S.,0,0,3,536,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:02,0.0,194.233.64.92,42.219.158.188,42051,53,UDP,.A....,0,0,1,54,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:02,0.0,42.219.158.188,194.233.64.92,53,42051,UDP,.A....,0,0,1,138,blacklist,2016-04-11 00:00:02
2016-04-11 00:00:03,0.268,194.233.64.153,42.219.158.188,45164,80,TCP,.AP.S.,0,0,4,434,blacklist,2016-04-11 00:00:03
2016-04-11 00:00:03,0.136,42.219.158.188,194.233.64.153,80,45164,TCP,.AP.S.,0,0,3,678,blacklist,2016-04-11 00:00:03
2016-04-11 00:00:03,0.268,194.233.64.185,42.219.158.188,38922,80,TCP,.AP.S.,0,0,4,438,blacklist,2016-04-11 00:00:03
2016-04-11 00:00:03,0.14400000000000002,42.219.158.188,194.233.64.185,80,38922,TCP,.AP.S.,0,0,3,602,blacklist,2016-04-11 00:00:03
2016-04-11 00:00:04,0.0,42.219.158.188,143.72.8.137,42860,53,UDP,.A....,0,0,2,128,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,143.72.8.137,42.219.158.188,53,42860,UDP,.A....,0,0,2,238,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,42.219.158.188,143.72.8.137,51078,53,UDP,.A....,0,0,2,128,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,42.219.158.188,143.72.8.137,57781,53,UDP,.A....,0,0,2,128,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,42.219.158.188,143.72.8.137,33836,53,UDP,.A....,0,0,2,128,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,42.219.158.188,143.72.8.137,35280,53,UDP,.A....,0,0,2,128,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.004,143.72.8.137,42.219.158.188,53,51078,UDP,.A....,0,0,2,238,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,143.72.8.137,42.219.158.188,53,57781,UDP,.A....,0,0,2,238,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,143.72.8.137,42.219.158.188,53,33836,UDP,.A....,0,0,2,238,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.004,143.72.8.137,42.219.158.188,53,35280,UDP,.A....,0,0,2,238,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,42.219.158.188,143.72.8.137,50947,53,UDP,.A....,0,0,2,128,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:04,0.0,143.72.8.137,42.219.158.188,53,50947,UDP,.A....,0,0,2,238,blacklist,2016-04-11 00:00:04
2016-04-11 00:00:05,0.7879999999999999,42.219.154.108,176.101.191.190,55125,25,TCP,.AP.SF,0,0,22,11259,blacklist,2016-04-11 00:00:05
2016-04-11 00:00:14,65.208,42.219.158.188,50.62.95.42,80,49862,TCP,.AP.SF,0,0,11,2229,blacklist,2016-04-11 00:00:14
2016-04-11 00:00:05,0.06,165.1.200.240,42.219.158.188,53530,22,TCP,.AP...,0,8,2,168,blacklist,2016-04-11 00:00:05
2016-04-11 00:00:05,0.0,42.219.158.188,165.1.200.240,22,53530,TCP,.AP...,0,0,1,84,blacklist,2016-04-11 00:00:05
2016-04-11 00:00:05,0.0,42.219.158.188,143.72.8.137,49636,53,UDP,.A....,0,0,2,128,blacklist,2016-04-11 00:00:05
2016-04-11 00:00:05,0.38,143.72.8.137,42.219.158.188,53,49636,UDP,.A....,0,0,2,238,blacklist,2016-04-11 00:00:05
2016-04-11 00:00:07,0.344,42.219.152.242,56.217.245.242,80,13458,TCP,.A..S.,0,0,10,528,blacklist,2016-04-11 00:00:07
2016-04-11 00:00:03,1.932,75.179.204.102,42.219.158.188,58174,80,TCP,.AP.SF,0,72,68,3085,blacklist,2016-04-11 00:00:03
2016-04-11 00:00:08,0.0,42.219.158.188,70.231.107.18,80,54469,TCP,.A...F,0,0,1,40,blacklist,2016-04-11 00:00:08
2016-04-11 00:00:08,0.0,42.219.158.188,70.231.107.18,80,54466,TCP,.A...F,0,0,1,40,blacklist,2016-04-11 00:00:08
2016-04-11 00:00:08,0.0,42.219.158.188,70.231.107.18,80,54470,TCP,.A...F,0,0,1,40,blacklist,2016-04-11 00:00:08
2016-04-11 00:00:08,0.0,42.219.158.188,209.34.68.123,143,60082,TCP,.AP...,0,0,1,88,blacklist,2016-04-11 00:00:08
2016-04-11 00:00:09,0.0,42.219.158.188,70.231.107.18,80,54487,TCP,.A....,0,0,1,52,blacklist,2016-04-11 00:00:09
2016-04-11 00:00:09,0.0,204.97.134.102,42.219.158.188,38381,53,UDP,.A....,0,0,1,79,blacklist,2016-04-11 00:00:09
2016-04-11 00:00:09,0.0,42.219.158.188,204.97.134.102,53,38381,UDP,.A....,0,0,1,163,blacklist,2016-04-11 00:00:09
2016-04-11 00:00:20,10.912,42.219.158.188,70.231.107.18,80,54675,TCP,.A..SF,0,0,2,92,blacklist,2016-04-11 00:00:20
2016-04-11 00:00:20,10.924000000000001,42.219.158.188,70.231.107.18,80,54676,TCP,.A..SF,0,0,2,92,blacklist,2016-04-11 00:00:20
2016-04-11 00:00:20,10.908,42.219.158.188,70.231.107.18,80,54680,TCP,.A..SF,0,0,2,92,blacklist,2016-04-11 00:00:20
2016-04-11 00:00:20,10.908,42.219.158.188,70.231.107.18,80,54678,TCP,.A..SF,0,0,2,92,blacklist,2016-04-11 00:00:20
2016-04-11 00:00:20,10.904000000000002,42.219.158.188,70.231.107.18,80,54679,TCP,.A..SF,0,0,2,92,blacklist,2016-04-11 00:00:20
2016-04-11 00:00:20,10.904000000000002,42.219.158.188,70.231.107.18,80,54681,TCP,.A..SF,0,0,2,92,blacklist,2016-04-11 00:00:20
2016-04-11 00:00:20,10.908,42.219.158.188,70.231.107.18,80,54677,TCP,.A..SF,0,0,2,92,blacklist,2016-04-11 00:00:20
2016-04-11 00:00:10,0.0,42.219.158.188,209.34.68.123,143,56121,TCP,.AP...,0,0,1,88,blacklist,2016-04-11 00:00:10
