te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,label,TS
2016-04-11 00:00:04,14.052,42.219.156.231,71.62.190.132,47960,22,TCP,.AP.SF,0,0,14,1381,anomaly-sshscan,2016-04-11 00:00:04
2016-04-11 00:00:01,9.744,42.219.156.231,71.62.190.200,54981,22,TCP,.AP.SF,0,0,15,1789,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,10.136000000000001,71.62.190.200,42.219.156.231,22,54981,TCP,.APRS.,0,40,17,1776,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:05,12.744000000000002,71.62.190.132,42.219.156.231,22,47960,TCP,.AP.SF,0,40,19,2099,anomaly-sshscan,2016-04-11 00:00:05
2016-04-11 00:00:01,5.212000000000001,42.219.156.231,71.62.189.16,60141,22,TCP,.AP.SF,0,0,12,1253,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,5.78,71.62.189.16,42.219.156.231,22,60141,TCP,.AP.SF,0,40,18,2047,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,5.247999999999999,71.62.190.209,42.219.156.231,22,39777,TCP,.APRS.,0,40,18,1820,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:04,7.996,42.219.156.231,71.62.190.216,45104,22,TCP,.AP.SF,0,0,14,1369,anomaly-sshscan,2016-04-11 00:00:04
2016-04-11 00:00:01,4.692,71.62.190.154,42.219.156.231,22,47856,TCP,.APRS.,0,40,17,1896,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:04,8.292,71.62.190.216,42.219.156.231,22,45104,TCP,.APRS.,0,40,17,1772,anomaly-sshscan,2016-04-11 00:00:04
2016-04-11 00:00:01,4.248,71.62.190.217,42.219.156.231,22,36614,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,4.324,71.62.190.151,42.219.156.231,22,50062,TCP,.APRS.,0,40,16,1704,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,4.308,71.62.187.80,42.219.156.231,22,58221,TCP,.APRS.,0,40,16,1712,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.948,71.62.187.89,42.219.156.231,22,45474,TCP,.AP.SF,0,40,18,2039,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.852,71.62.187.127,42.219.156.231,22,53963,TCP,.APRS.,0,40,17,1756,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,4.0280000000000005,71.62.187.118,42.219.156.231,22,39941,TCP,.AP.SF,0,40,19,2091,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.752,71.62.189.89,42.219.156.231,22,37111,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.86,42.219.156.231,71.62.190.210,35954,22,TCP,.AP.SF,0,0,12,1253,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.984,42.219.156.231,71.62.190.146,53921,22,TCP,.AP.SF,0,0,12,1253,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.64,71.62.187.86,42.219.156.231,22,55324,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.78,42.219.156.231,71.62.190.147,43168,22,TCP,.AP.SF,0,0,13,1317,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,4.343999999999999,71.62.190.192,42.219.156.231,22,37012,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.8280000000000003,71.62.187.231,42.219.156.231,22,58682,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.784,71.62.187.73,42.219.156.231,22,39861,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.56,42.219.156.231,71.62.187.114,55426,22,TCP,.AP.SF,0,0,12,1253,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.668,71.62.187.59,42.219.156.231,22,53437,TCP,.APRS.,0,40,18,1816,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.668,71.62.187.63,42.219.156.231,22,59474,TCP,.APRS.,0,40,18,1808,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.656,71.62.187.61,42.219.156.231,22,39971,TCP,.APRS.,0,40,17,1756,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,4.272,71.62.190.210,42.219.156.231,22,35954,TCP,.APRS.,0,40,17,1756,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.7239999999999998,71.62.189.175,42.219.156.231,22,60126,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.388,42.219.156.231,71.62.189.28,34971,22,TCP,.AP.SF,0,0,13,1317,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,4.36,71.62.190.146,42.219.156.231,22,53921,TCP,.APRS.,0,40,16,1704,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.764,71.62.187.125,42.219.156.231,22,51140,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,4.196000000000001,71.62.190.147,42.219.156.231,22,43168,TCP,.APRS.,0,40,17,1756,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.7039999999999997,71.62.187.74,42.219.156.231,22,35405,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:02,4.836,42.219.156.231,71.62.190.198,35243,22,TCP,.AP.SF,0,0,14,1513,anomaly-sshscan,2016-04-11 00:00:02
2016-04-11 00:00:01,3.444,71.62.187.115,42.219.156.231,22,47648,TCP,.APRS.,0,40,17,1700,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,4.156000000000001,71.62.187.114,42.219.156.231,22,55426,TCP,.AP.SF,0,40,18,2039,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.6719999999999997,71.62.187.81,42.219.156.231,22,56442,TCP,.APRS.,0,40,17,1776,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.4360000000000004,42.219.156.231,71.62.187.82,33485,22,TCP,.AP.SF,0,0,13,1317,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.7960000000000003,42.219.156.231,71.62.187.60,34458,22,TCP,.AP.SF,0,0,12,1269,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.66,71.62.187.54,42.219.156.231,22,38511,TCP,.APRS.,0,40,16,1704,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.716,71.62.187.171,42.219.156.231,22,35576,TCP,.APRS.,0,40,17,1764,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.34,42.219.156.231,71.62.187.57,46540,22,TCP,.AP.SF,0,0,13,1317,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.392,42.219.156.231,71.62.187.119,56013,22,TCP,.AP.SF,0,0,12,1253,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.42,42.219.156.231,71.62.187.169,41813,22,TCP,.AP.SF,0,0,12,1269,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.812,71.62.189.65,42.219.156.231,22,34610,TCP,.AP.SF,0,40,18,2047,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.98,71.62.189.28,42.219.156.231,22,34971,TCP,.AP.SF,0,40,18,2039,anomaly-sshscan,2016-04-11 00:00:01
2016-04-11 00:00:01,3.18,42.219.156.231,71.62.187.37,42368,22,TCP,.AP.SF,0,0,12,1253,anomaly-sshscan,2016-04-11 00:00:01
