te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,label,TS
2016-04-13 00:00:11,0.0,117.208.149.54,42.219.156.30,49883,22,TCP,....S.,0,72,1,40,background,2016-04-13 00:00:11
2016-04-13 00:00:11,0.0,117.208.149.55,42.219.156.30,33019,22,TCP,....S.,0,72,1,40,background,2016-04-13 00:00:11
2016-04-13 00:00:14,3.012,221.150.229.11,42.219.154.71,1579,445,TCP,....S.,0,72,2,96,background,2016-04-13 00:00:14
2016-04-13 00:01:08,0.0,220.77.189.24,42.219.156.31,80,63443,TCP,.A..S.,0,0,1,44,background,2016-04-13 00:01:08
2016-04-13 00:01:10,0.0,61.84.203.218,42.219.154.71,9005,52951,TCP,.A..S.,0,40,1,44,background,2016-04-13 00:01:10
2016-04-13 00:01:28,0.0,233.198.212.137,42.219.158.18,56948,21,TCP,....S.,0,0,1,40,background,2016-04-13 00:01:28
2016-04-13 00:01:46,0.0,234.70.125.12,42.219.156.31,40539,22,TCP,....S.,0,40,1,48,background,2016-04-13 00:01:46
2016-04-13 00:01:46,0.0,234.70.125.12,42.219.158.16,40539,22,TCP,....S.,0,40,1,48,background,2016-04-13 00:01:46
2016-04-13 00:01:51,0.0,198.132.27.142,42.219.156.27,20012,9002,TCP,....S.,0,40,1,40,background,2016-04-13 00:01:51
2016-04-13 00:01:53,0.0,94.170.178.222,42.219.154.66,0,2048,ICMP,.A....,0,0,1,28,background,2016-04-13 00:01:53
2016-04-13 00:02:51,0.0,78.180.95.80,42.219.152.22,39884,123,UDP,.A....,0,40,1,220,background,2016-04-13 00:02:51
2016-04-13 00:03:02,0.0,168.225.173.144,42.219.156.28,9110,51667,TCP,.A....,0,0,1,40,background,2016-04-13 00:03:02
2016-04-13 00:03:26,0.0,242.101.129.130,42.219.158.18,53080,443,TCP,....S.,0,0,1,40,background,2016-04-13 00:03:26
2016-04-13 00:04:12,0.0,198.132.87.97,42.219.152.20,873,873,TCP,....S.,0,40,1,40,background,2016-04-13 00:04:12
2016-04-13 00:04:18,0.0,240.111.145.48,42.219.158.16,80,14859,TCP,.A..S.,0,0,1,44,background,2016-04-13 00:04:18
